Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2009,211.143,212.19299999999998,212.709,213.24,213.856,215.69299999999998,215.351,215.834,215.96900000000002,216.17700000000002,216.33,215.949
2010,216.687,216.74099999999999,217.63099999999997,218.00900000000001,218.178,217.965,218.011,218.312,218.43900000000002,218.71099999999998,218.803,219.179
2011,220.22299999999998,221.30900000000003,223.467,224.90599999999998,225.96400000000003,225.722,225.922,226.545,226.889,226.421,226.23,225.672
2012,226.655,227.66299999999998,229.392,230.085,229.815,229.47799999999998,229.104,230.37900000000002,231.407,231.317,230.22099999999998,229.601
2013,230.28,232.166,232.773,232.53099999999998,232.945,233.50400000000002,233.59599999999998,233.877,234.149,233.546,233.06900000000002,233.049
2014,233.916,234.78099999999998,236.293,237.072,237.9,238.343,238.25,237.852,238.03099999999998,237.433,236.15099999999998,234.812
2015,233.707,234.722,236.11900000000003,236.59900000000002,237.805,238.638,238.65400000000002,238.31599999999997,237.945,237.838,237.33599999999998,236.525
2016,236.916,237.111,238.132,239.261,240.236,241.03799999999998,240.64700000000002,240.85299999999998,241.428,241.729,241.35299999999998,241.43200000000002
